
Train,11050,AHMEDABAD EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,ADI,AHMEDABAD JN,1,Source,16:25:00,0,0,1,
2,ND,NADIAD JN,1,17:05:00,17:07:00,2,46,1,
3,ANND,ANAND JN,1,17:25:00,17:27:00,2,64,1,
4,BRC,VADODARA JN,1,18:15:00,18:20:00,5,100,1,
5,BH,BHARUCH JN,1,19:08:00,19:10:00,2,170,1,
6,ST,SURAT,1,20:10:00,20:20:00,10,229,1,
7,NVS,NAVSARI,1,20:43:00,20:45:00,2,259,1,
8,BL,VALSAD,1,21:21:00,21:23:00,2,298,1,
9,VAPI,VAPI,1,21:46:00,21:48:00,2,322,1,
10,DRD,DAHANU ROAD,1,22:26:00,22:28:00,2,372,1,
11,BSR,VASAI ROAD,1,00:10:00,00:15:00,5,444,2,
12,BIRD,BHIWANDI ROAD,1,00:53:00,00:55:00,2,471,2,
13,KYN,KALYAN JN,1,01:45:00,01:50:00,5,496,2,
14,KJT,KARJAT,1,02:28:00,02:30:00,2,543,2,
15,LNL,LONAVALA,1,03:23:00,03:25:00,2,571,2,
16,SVJR,SHIVAJINAGAR,1,04:18:00,04:20:00,2,632,2,
17,PUNE,PUNE JN,1,04:45:00,Destination,0,635,2,


Train,11096,AHIMSA EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,PUNE,PUNE JN,1,Source,19:50:00,0,0,1,
2,LNL,LONAVALA,1,20:43:00,20:45:00,2,64,1,
3,KJT,KARJAT,1,21:28:00,21:30:00,2,92,1,
4,KYN,KALYAN JN,1,22:20:00,22:25:00,5,139,1,
5,BIRD,BHIWANDI ROAD,1,22:48:00,22:50:00,2,164,1,
6,BSR,VASAI ROAD,1,23:45:00,23:50:00,5,191,1,
7,DRD,DAHANU ROAD,1,01:08:00,01:10:00,2,263,2,
8,VAPI,VAPI,1,01:44:00,01:46:00,2,314,2,
9,BL,VALSAD,1,02:11:00,02:13:00,2,338,2,
10,NVS,NAVSARI,1,03:02:00,03:04:00,2,377,2,
11,ST,SURAT,1,03:50:00,03:55:00,5,406,2,
12,BH,BHARUCH JN,1,04:42:00,04:44:00,2,465,2,
13,BRC,VADODARA JN,1,05:45:00,05:50:00,5,535,2,
14,ANND,ANAND JN,1,06:24:00,06:26:00,2,571,2,
15,ND,NADIAD JN,1,06:44:00,06:46:00,2,589,2,
16,ADI,AHMEDABAD JN,1,07:45:00,Destination,0,635,2,


Train,11202,AJNI LTT EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,AJNI,AJNI,1,Source,16:15:00,0,0,1,
2,WR,WARDHA JN,1,17:10:00,17:13:00,3,76,1,
3,PLO,PULGAON JN,1,17:36:00,17:38:00,2,106,1,
4,DMN,DHAMANGAON,1,18:05:00,18:07:00,2,126,1,
5,CND,CHANDUR,1,18:22:00,18:24:00,2,143,1,
6,BD,BADNERA JN,1,19:30:00,19:35:00,5,172,1,
7,MZR,MURTAJAPUR,1,20:08:00,20:10:00,2,213,1,
8,AK,AKOLA JN,1,21:25:00,21:35:00,10,251,1,
9,WHM,WASHIM,1,22:49:00,22:50:00,1,329,1,
10,HNL,HINGOLI DECCAN,1,23:39:00,23:40:00,1,377,1,
11,BMF,BASMAT,1,00:38:00,00:40:00,2,435,2,
12,PAU,PURNA JN,1,01:00:00,01:10:00,10,457,2,
13,PBN,PARBHANI JN,1,01:40:00,01:42:00,2,486,2,
14,SELU,SELU,1,02:23:00,02:25:00,2,528,2,
15,PTU,PARTUR,1,02:53:00,02:55:00,2,556,2,
